激活函数,epoch,train_loss,test_acc
sigmoid,1,0.7035442438206947,80.51
sigmoid,2,0.46235835998614966,83.17
sigmoid,3,0.4197782832485781,84.52
sigmoid,4,0.38846486857705026,85.1
sigmoid,5,0.3691595393552709,85.49
poly3,1,0.7388430170095297,80.0
poly3,2,0.4856102385405284,82.1
poly3,3,0.4346058342153075,83.43
poly3,4,0.40905585580034803,84.04
poly3,5,0.38883937382177,84.4
poly5,1,0.6980162465623193,79.32
poly5,2,0.48632591838902756,81.76
poly5,3,0.4494749921312464,82.7
poly5,4,0.42519251357263593,83.08
poly5,5,0.4121099481228064,84.37
